department,total_count,termenated_count,terminated_rate
Product Management,641,73,0.113884555382
Auditing,52,9,0.173076923076
Marketing,494,48,0.097165991902
Legal,311,42,0.135048231511
Sales,1832,210,0.114628820960
Services,1686,188,0.111506524317
Engineering,6686,787,0.117708644929
Training,1692,208,0.122931442080
Support,954,113,0.118448637316
Human Resources,1807,212,0.117321527393
Research and Development,1084,131,0.120848708487
Accounting,3333,384,0.115211521152
Business Development,1642,167,0.101705237515
